# x_m,y_m,w_tr_right_m,w_tr_left_m
6.4435,-19.7708,1.9300,1.9300
6.4435,-19.7208,1.9164,1.9164
6.4435,-19.6708,1.9039,1.9039
6.3935,-19.6208,1.9300,1.9300
6.3935,-19.5708,1.9300,1.9300
6.3935,-19.5208,1.9164,1.9164
6.3935,-19.4708,1.9039,1.9039
6.3435,-19.4208,1.9300,1.9300
6.3435,-19.3708,1.9320,1.9320
6.3435,-19.3208,1.9235,1.9235
6.2935,-19.2708,1.9300,1.9300
6.2935,-19.2208,1.9416,1.9416
6.2935,-19.1708,1.9416,1.9416
6.2935,-19.1208,1.9320,1.9320
6.2435,-19.0708,1.9300,1.9300
6.2435,-19.0208,1.9416,1.9416
6.2435,-18.9708,1.9526,1.9526
6.2435,-18.9208,1.9416,1.9416
6.2435,-18.8708,1.9320,1.9320
6.1935,-18.8208,1.9320,1.9320
6.1935,-18.7708,1.9416,1.9416
6.1935,-18.7208,1.9526,1.9526
6.1935,-18.6708,1.9416,1.9416
6.1935,-18.6208,1.9320,1.9320
6.1935,-18.5708,1.9235,1.9235
6.1435,-18.5208,1.9416,1.9416
6.1435,-18.4708,1.9526,1.9526
6.1435,-18.4208,1.9416,1.9416
6.1435,-18.3708,1.9320,1.9320
6.1435,-18.3208,1.9235,1.9235
6.0935,-18.2708,1.9320,1.9320
6.0935,-18.2208,1.9416,1.9416
6.0935,-18.1708,1.9416,1.9416
6.0935,-18.1208,1.9320,1.9320
6.0935,-18.0708,1.9235,1.9235
6.0435,-18.0208,1.9320,1.9320
6.0435,-17.9708,1.9416,1.9416
6.0435,-17.9208,1.9526,1.9526
6.0435,-17.8708,1.9526,1.9526
6.0435,-17.8208,1.9416,1.9416
6.0435,-17.7708,1.9320,1.9320
6.0435,-17.7208,1.9235,1.9235
6.0435,-17.6708,1.9164,1.9164
6.0435,-17.6208,1.9105,1.9105
6.0435,-17.5708,1.9059,1.9059
6.0435,-17.5208,1.9026,1.9026
6.0435,-17.4708,1.9007,1.9007
5.9935,-17.4208,1.9500,1.9500
5.9935,-17.3708,1.9500,1.9500
5.9935,-17.3208,1.9416,1.9416
5.9935,-17.2708,1.9320,1.9320
5.9935,-17.2208,1.9235,1.9235
5.9935,-17.1708,1.9164,1.9164
5.9935,-17.1208,1.9105,1.9105
5.9935,-17.0708,1.9059,1.9059
5.9935,-17.0208,1.9026,1.9026
5.9935,-16.9708,1.9007,1.9007
5.9935,-16.9208,1.9000,1.9000
5.9435,-16.8708,1.9500,1.9500
5.9435,-16.8208,1.9500,1.9500
5.9435,-16.7708,1.9500,1.9500
5.9435,-16.7208,1.9500,1.9500
5.9435,-16.6708,1.9500,1.9500
5.9435,-16.6208,1.9500,1.9500
5.9435,-16.5708,1.9500,1.9500
5.9435,-16.5208,1.9500,1.9500
5.9435,-16.4708,1.9500,1.9500
5.9435,-16.4208,1.9500,1.9500
5.9435,-16.3708,1.9500,1.9500
5.9435,-16.3208,1.9500,1.9500
5.8935,-16.2708,2.0000,2.0000
5.8935,-16.2208,2.0000,2.0000
5.8935,-16.1708,2.0000,2.0000
5.8935,-16.1208,2.0000,2.0000
5.8935,-16.0708,2.0006,2.0006
5.8935,-16.0208,2.0025,2.0025
5.8935,-15.9708,2.0056,2.0056
5.8935,-15.9208,2.0100,2.0100
5.8935,-15.8708,2.0156,2.0156
5.8935,-15.8208,2.0224,2.0224
5.8935,-15.7708,2.0304,2.0304
5.8935,-15.7208,2.0396,2.0396
5.8935,-15.6708,2.0500,2.0500
5.8935,-15.6208,2.0597,2.0597
5.8935,-15.5708,2.0652,2.0652
5.8435,-15.5208,2.1000,2.1000
5.8435,-15.4708,2.1000,2.1000
5.8435,-15.4208,2.1000,2.1000
5.8435,-15.3708,2.1000,2.1000
5.8435,-15.3208,2.1000,2.1000
5.8435,-15.2708,2.1000,2.1000
5.8435,-15.2208,2.1000,2.1000
5.8435,-15.1708,2.1000,2.1000
5.8435,-15.1208,2.1000,2.1000
5.8435,-15.0708,2.1000,2.1000
5.8435,-15.0208,2.1000,2.1000
5.8435,-14.9708,2.1000,2.1000
5.8435,-14.9208,2.1000,2.1000
5.8435,-14.8708,2.1006,2.1006
5.8435,-14.8208,2.1024,2.1024
5.8435,-14.7708,2.1024,2.1024
5.8435,-14.7208,2.1006,2.1006
5.8435,-14.6708,2.1000,2.1000
5.8435,-14.6208,2.1000,2.1000
