# x_m,y_m,w_tr_right_m,w_tr_left_m
1.0500,4.0700,0.9802,0.9802
1.0300,4.0700,0.9800,0.9800
1.0100,4.0700,0.9767,0.9767
0.9900,4.0500,0.9535,0.9535
0.9700,4.0500,0.9504,0.9504
0.9500,4.0500,0.9476,0.9476
0.9300,4.0300,0.9254,0.9254
0.9100,4.0300,0.9235,0.9235
0.8900,4.0300,0.9220,0.9220
0.8700,4.0100,0.9009,0.9009
0.8500,4.0100,0.9002,0.9002
0.8300,4.0100,0.9000,0.9000
0.8100,3.9900,0.8800,0.8800
0.7900,3.9900,0.8800,0.8800
0.7700,3.9900,0.8800,0.8800
0.7500,3.9900,0.8800,0.8800
0.7300,3.9700,0.8602,0.8602
0.7100,3.9700,0.8600,0.8600
0.6900,3.9700,0.8602,0.8602
0.6700,3.9700,0.8609,0.8609
0.6500,3.9700,0.8621,0.8621
0.6300,3.9500,0.8438,0.8438
0.6100,3.9500,0.8459,0.8459
0.5900,3.9500,0.8485,0.8485
0.5700,3.9500,0.8516,0.8516
0.5500,3.9500,0.8551,0.8551
0.5300,3.9500,0.8591,0.8591
0.5100,3.9500,0.8635,0.8635
0.4900,3.9500,0.8658,0.8658
0.4700,3.9500,0.8683,0.8683
0.4500,3.9300,0.8516,0.8516
0.4300,3.9300,0.8551,0.8551
0.4100,3.9300,0.8591,0.8591
0.3900,3.9300,0.8635,0.8635
0.3700,3.9300,0.8683,0.8683
0.3500,3.9300,0.8736,0.8736
0.3300,3.9300,0.8786,0.8786
0.3100,3.9300,0.8736,0.8736
0.2900,3.9100,0.8732,0.8732
0.2700,3.9100,0.8793,0.8793
0.2500,3.9100,0.8786,0.8786
0.2300,3.9100,0.8748,0.8748
0.2100,3.9100,0.8713,0.8713
0.1900,3.8900,0.8854,0.8854
0.1700,3.8900,0.8857,0.8857
0.1500,3.8900,0.8836,0.8836
0.1300,3.8900,0.8820,0.8820
0.1100,3.8700,0.8955,0.8955
0.0900,3.8700,0.8944,0.8944
0.0700,3.8700,0.8911,0.8911
0.0500,3.8700,0.8877,0.8877
0.0300,3.8700,0.8829,0.8829
0.0100,3.8500,0.8982,0.8982
-0.0100,3.8500,0.8929,0.8929
-0.0300,3.8500,0.8877,0.8877
-0.0500,3.8500,0.8829,0.8829
-0.0700,3.8300,0.8982,0.8982
-0.0900,3.8300,0.8944,0.8944
-0.1100,3.8300,0.8911,0.8911
-0.1300,3.8300,0.8881,0.8881
-0.1500,3.8300,0.8857,0.8857
-0.1700,3.8300,0.8829,0.8829
-0.1900,3.8300,0.8786,0.8786
