# x_m,y_m,w_tr_right_m,w_tr_left_m
1.0900,-10.7800,0.7762,0.7762
1.0900,-10.7300,0.7649,0.7649
1.0400,-10.6800,0.7906,0.7906
1.0400,-10.6300,0.8016,0.8016
1.0400,-10.5800,0.7906,0.7906
0.9900,-10.5300,0.8246,0.8246
0.9900,-10.4800,0.8062,0.8062
0.9400,-10.4300,0.8276,0.8276
0.9400,-10.3800,0.8078,0.8078
0.8900,-10.3300,0.8382,0.8382
0.8400,-10.2800,0.8732,0.8732
0.8400,-10.2300,0.8500,0.8500
0.7900,-10.1800,0.8732,0.8732
0.7400,-10.1300,0.8944,0.8944
0.6900,-10.0800,0.9179,0.9179
0.6400,-10.0300,0.9192,0.9192
0.5900,-9.9800,0.9220,0.9220
0.5400,-9.9300,0.9301,0.9301
0.4900,-9.8800,0.9434,0.9434
0.4400,-9.8300,0.9552,0.9552
0.3900,-9.7800,0.9605,0.9605
0.3400,-9.7800,0.9301,0.9301
0.2900,-9.7300,0.9434,0.9434
0.2400,-9.6800,0.9618,0.9618
0.1900,-9.6300,0.9849,0.9849
0.1400,-9.6300,0.9657,0.9657
0.0900,-9.5800,0.9962,0.9962
0.0400,-9.5800,0.9823,0.9823
-0.0100,-9.5800,0.9708,0.9708
-0.0600,-9.5300,1.0062,1.0062
-0.1100,-9.4800,1.0308,1.0308
-0.1600,-9.4800,1.0124,1.0124
-0.2100,-9.4300,1.0440,1.0440
-0.2600,-9.4300,1.0308,1.0308
-0.3100,-9.4300,1.0124,1.0124
-0.3600,-9.3800,1.0440,1.0440
-0.4100,-9.3800,1.0308,1.0308
-0.4600,-9.3300,1.0689,1.0689
-0.5100,-9.3300,1.0512,1.0512
-0.5600,-9.3300,1.0308,1.0308
-0.6100,-9.3300,1.0124,1.0124
-0.6600,-9.2800,1.0440,1.0440
-0.7100,-9.2800,1.0308,1.0308
-0.7600,-9.2800,1.0198,1.0198
-0.8100,-9.2300,1.0548,1.0548
-0.8600,-9.2300,1.0548,1.0548
-0.9100,-9.2300,1.0440,1.0440
-0.9600,-9.2300,1.0308,1.0308
-1.0100,-9.2300,1.0198,1.0198
-1.0600,-9.2300,1.0112,1.0112
-1.1100,-9.2800,0.9552,0.9552
-1.1600,-9.2800,0.9513,0.9513
-1.2100,-9.2800,0.9487,0.9487
-1.2600,-9.2800,0.9341,0.9341
-1.3100,-9.2800,0.9220,0.9220
-1.3600,-9.2800,0.9124,0.9124
-1.4100,-9.2800,0.9055,0.9055
-1.4600,-9.2800,0.9014,0.9014
-1.5100,-9.2800,0.9000,0.9000
-1.5600,-9.3300,0.8500,0.8500
-1.6100,-9.3300,0.8500,0.8500
-1.6600,-9.3300,0.8500,0.8500
-1.7100,-9.3300,0.8500,0.8500
-1.7600,-9.3300,0.8500,0.8500
-1.8100,-9.3300,0.8500,0.8500
-1.8600,-9.3300,0.8500,0.8500
-1.9100,-9.3300,0.8500,0.8500
-1.9600,-9.3300,0.8500,0.8500
-2.0100,-9.3300,0.8500,0.8500
-2.0600,-9.3300,0.8500,0.8500
-2.1100,-9.3300,0.8500,0.8500
-2.1600,-9.3300,0.8500,0.8500
-2.2100,-9.3300,0.8515,0.8515
-2.2600,-9.3300,0.8559,0.8559
-2.3100,-9.3300,0.8631,0.8631
-2.3600,-9.3300,0.8559,0.8559
-2.4100,-9.3300,0.8515,0.8515
-2.4600,-9.3300,0.8500,0.8500
-2.5100,-9.3300,0.8500,0.8500
-2.5600,-9.3300,0.8500,0.8500
-2.6100,-9.3300,0.8500,0.8500
-2.6600,-9.3300,0.8500,0.8500
-2.7100,-9.3300,0.8500,0.8500
-2.7600,-9.3300,0.8500,0.8500
