# x_m,y_m,w_tr_right_m,w_tr_left_m
7.9990,-0.0380,2.7541,2.7541
7.9990,0.0120,2.7409,2.7409
7.9490,0.0620,2.7372,2.7372
7.9490,0.1120,2.7459,2.7459
7.9490,0.1620,2.7554,2.7554
7.9490,0.2120,2.7459,2.7459
7.9490,0.2620,2.7372,2.7372
7.8990,0.3120,2.7295,2.7295
7.8990,0.3620,2.7372,2.7372
7.8990,0.4120,2.7459,2.7459
7.8990,0.4620,2.7459,2.7459
7.8990,0.5120,2.7372,2.7372
7.8990,0.5620,2.7286,2.7286
7.8490,0.6120,2.7372,2.7372
7.8490,0.6620,2.7459,2.7459
7.8490,0.7120,2.7459,2.7459
7.8490,0.7620,2.7372,2.7372
7.7990,0.8120,2.7286,2.7286
7.7990,0.8620,2.7372,2.7372
7.7990,0.9120,2.7459,2.7459
7.7990,0.9620,2.7459,2.7459
7.7990,1.0120,2.7372,2.7372
7.7490,1.0620,2.7286,2.7286
7.7490,1.1120,2.7372,2.7372
7.7490,1.1620,2.7459,2.7459
7.7490,1.2120,2.7459,2.7459
7.7490,1.2620,2.7372,2.7372
7.7490,1.3120,2.7295,2.7295
7.6990,1.3620,2.7409,2.7409
7.6990,1.4120,2.7505,2.7505
7.6990,1.4620,2.7500,2.7500
7.6990,1.5120,2.7459,2.7459
7.6490,1.5620,2.7000,2.7000
7.6490,1.6120,2.7005,2.7005
7.6490,1.6620,2.7019,2.7019
7.5990,1.7120,2.6542,2.6542
7.5990,1.7620,2.6575,2.6575
7.5990,1.8120,2.6618,2.6618
7.5490,1.8620,2.6173,2.6173
7.5490,1.9120,2.6235,2.6235
7.5490,1.9620,2.6306,2.6306
7.4990,2.0120,2.5894,2.5894
7.4990,2.0620,2.5986,2.5986
7.4490,2.1120,2.5598,2.5598
7.4490,2.1620,2.5710,2.5710
7.4490,2.2120,2.5831,2.5831
7.3990,2.2620,2.5480,2.5480
7.3990,2.3120,2.5622,2.5622
7.3990,2.3620,2.5773,2.5773
7.3490,2.4120,2.5461,2.5461
7.3490,2.4620,2.5598,2.5598
7.3490,2.5120,2.5710,2.5710
7.3490,2.5620,2.5812,2.5812
7.2990,2.6120,2.5402,2.5402
7.2990,2.6620,2.5495,2.5495
7.2990,2.7120,2.5598,2.5598
7.2990,2.7620,2.5710,2.5710
7.2490,2.8120,2.5348,2.5348
7.1990,2.8620,2.5000,2.5000
7.1990,2.9120,2.5110,2.5110
7.1490,2.9620,2.4739,2.4739
7.1490,3.0120,2.4865,2.4865
7.0990,3.0620,2.4515,2.4515
7.0490,3.1120,2.4135,2.4135
7.0490,3.1620,2.4254,2.4254
7.0490,3.2120,2.4382,2.4382
6.9990,3.2620,2.4042,2.4042
6.9490,3.3120,2.3717,2.3717
6.9490,3.3620,2.3880,2.3880
6.9490,3.4120,2.4052,2.4052
6.8990,3.4620,2.3770,2.3770
6.8990,3.5120,2.3964,2.3964
6.8490,3.5620,2.3712,2.3712
6.8490,3.6120,2.3927,2.3927
6.7990,3.6620,2.3707,2.3707
6.7990,3.7120,2.3943,2.3943
6.7490,3.7620,2.3754,2.3754
6.7490,3.8120,2.3436,2.3436
6.6990,3.8620,2.2853,2.2853
6.6490,3.8620,2.2771,2.2771
6.5990,3.9120,2.2204,2.2204
6.5990,3.9620,2.1708,2.1708
6.5490,4.0120,2.1148,2.1148
6.4990,4.0120,2.1095,2.1095
6.4490,4.0120,2.1054,2.1054
6.3990,4.0120,2.1024,2.1024
6.3490,4.0120,2.0988,2.0988
6.2990,4.0620,2.0396,2.0396
6.2490,4.0620,2.0304,2.0304
6.1990,4.0620,2.0224,2.0224
6.1490,4.1120,1.9660,1.9660
6.0990,4.1120,1.9602,1.9602
6.0490,4.1120,1.9526,1.9526
5.9990,4.1620,1.8927,1.8927
5.9490,4.1620,1.8828,1.8828
5.8990,4.1620,1.8742,1.8742
5.8490,4.2120,1.8173,1.8173
5.7990,4.2120,1.8111,1.8111
5.7490,4.2120,1.8062,1.8062
5.6990,4.2120,1.8028,1.8028
5.6490,4.2120,1.8007,1.8007
5.5990,4.2620,1.7500,1.7500
5.5490,4.2620,1.7500,1.7500
5.4990,4.2620,1.7500,1.7500
5.4490,4.2620,1.7500,1.7500
5.3990,4.2620,1.7500,1.7500
5.3490,4.2620,1.7500,1.7500
5.2990,4.2620,1.7500,1.7500
5.2490,4.2620,1.7500,1.7500
5.1990,4.2620,1.7393,1.7393
5.1490,4.2620,1.7241,1.7241
5.0990,4.2620,1.7103,1.7103
5.0490,4.2620,1.6978,1.6978
4.9990,4.2620,1.6867,1.6867
4.9490,4.2620,1.6771,1.6771
4.8990,4.2620,1.6688,1.6688
4.8490,4.2620,1.6621,1.6621
4.7990,4.2620,1.6568,1.6568
4.7490,4.2620,1.6530,1.6530
4.6990,4.2120,1.6008,1.6008
4.6490,4.2120,1.6000,1.6000
4.5990,4.2120,1.6000,1.6000
4.5490,4.2120,1.6000,1.6000
4.4990,4.2120,1.6008,1.6008
4.4490,4.2120,1.6031,1.6031
4.3990,4.2120,1.6070,1.6070
4.3490,4.2120,1.6125,1.6125
4.2990,4.2120,1.6194,1.6194
4.2490,4.2120,1.6194,1.6194
4.1990,4.1620,1.5890,1.5890
4.1490,4.1620,1.6008,1.6008
4.0990,4.1620,1.6070,1.6070
4.0490,4.1620,1.6125,1.6125
3.9990,4.1620,1.6194,1.6194
3.9490,4.1620,1.6125,1.6125
3.8990,4.1120,1.5890,1.5890
3.8490,4.1120,1.6008,1.6008
